name,source_path,target_path,file_type,reason_low_risk,needs_manual_confirm,status,notes
ai-video-editing-research.md,C:\Users\Administrator\ai-video-editing-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
ai-video-editing-final-summary.md,C:\Users\Administrator\ai-video-editing-final-summary.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
ai-video-editing-solution.md,C:\Users\Administrator\ai-video-editing-solution.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
ai-models-for-video.md,C:\Users\Administrator\ai-models-for-video.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
ai-vs-manual-editing-layman-guide.md,C:\Users\Administrator\ai-vs-manual-editing-layman-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
adobe-bridge-tools-guide.md,C:\Users\Administrator\adobe-bridge-tools-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
cc-codex-video-workflow.md,C:\Users\Administrator\cc-codex-video-workflow.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
cc-codex-video-workflows.md,C:\Users\Administrator\cc-codex-video-workflows.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,可能与上一个重复,yes,拟归位,需确认是否保留两份
deep-automation-tech-routes.md,C:\Users\Administrator\deep-automation-tech-routes.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
douyin-effects-guide.md,C:\Users\Administrator\douyin-effects-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
jimeng-playwright-research.md,C:\Users\Administrator\jimeng-playwright-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
local-tools-test-report.md,C:\Users\Administrator\local-tools-test-report.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
task-list.md,C:\Users\Administrator\task-list.md,D:\Archive\misc-docs-2026\,markdown,旧任务清单 可能是会话残留,yes,拟归位,需确认用途
conversation-history.md,C:\Users\Administrator\conversation-history.md,D:\Archive\misc-docs-2026\,markdown,旧对话记录(80KB),yes,拟归位,需确认是否有保留价值
dashboard.md,C:\Users\Administrator\dashboard.md,D:\Archive\misc-docs-2026\,markdown,旧仪表盘文本,yes,拟归位,需确认用途
cc-windows-snapshot-2026-03-06.md,C:\Users\Administrator\cc-windows-snapshot-2026-03-06.md,D:\Archive\misc-docs-2026\,markdown,系统快照记录,yes,拟归位,需确认用途
AGENTS.backup.2026-02-16.md,C:\Users\Administrator\AGENTS.backup.2026-02-16.md,C:\Users\Administrator\backups\,markdown,旧版 AGENTS 备份,yes,拟归位,需确认是否有参考价值
temp-feishu-app-permissions.html,C:\Users\Administrator\temp-feishu-app-permissions.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-download.html,C:\Users\Administrator\temp-feishu-download.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-page-1.html,C:\Users\Administrator\temp-feishu-page-1.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-page-2.html,C:\Users\Administrator\temp-feishu-page-2.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-page-3.html,C:\Users\Administrator\temp-feishu-page-3.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-page-4.html,C:\Users\Administrator\temp-feishu-page-4.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-privacy.html,C:\Users\Administrator\temp-feishu-privacy.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-feishu-search-jsapi.html,C:\Users\Administrator\temp-feishu-search-jsapi.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-lark-home.html,C:\Users\Administrator\temp-lark-home.html,D:\Archive\web-captures\,html,temp前缀 飞书页面抓取,no,拟归位,
temp-bing-h5support.html,C:\Users\Administrator\temp-bing-h5support.html,D:\Archive\web-captures\,html,temp前缀 Bing 页面抓取,no,拟归位,
temp-bing.html,C:\Users\Administrator\temp-bing.html,D:\Archive\web-captures\,html,temp前缀 Bing 页面抓取,no,拟归位,
adobe-davinci-automation-capabilities.json,C:\Users\Administrator\adobe-davinci-automation-capabilities.json,D:\Archive\research-data-2026\,json-data,研究扫描结果 非配置,no,拟归位,
ai-video-api-top30.json,C:\Users\Administrator\ai-video-api-top30.json,D:\Archive\research-data-2026\,json-data,研究扫描结果 非配置,no,拟归位,
jimeng_video_common_config.json,C:\Users\Administrator\jimeng_video_common_config.json,D:\Archive\research-data-2026\,json-data,名含config但实为研究抓取(166KB),yes,拟归位,需确认非工具配置
video-editing-tools-scan.json,C:\Users\Administrator\video-editing-tools-scan.json,D:\Archive\research-data-2026\,json-data,研究扫描结果 非配置,no,拟归位,
video-editing-tools-scan.raw.json,C:\Users\Administrator\video-editing-tools-scan.raw.json,D:\Archive\research-data-2026\,json-data,研究扫描原始结果(6.5MB),no,拟归位,
video-plugins-scan.json,C:\Users\Administrator\video-plugins-scan.json,D:\Archive\research-data-2026\,json-data,研究扫描结果 非配置,no,拟归位,
ex-girlfriend-context.json,C:\Users\Administrator\ex-girlfriend-context.json,01-content 至 05-ideas 体系,json-data,纯数据 含个人内容,yes,拟归位,需人工决定归位目标
tmp-playwright-output.txt,C:\Users\Administrator\tmp-playwright-output.txt,待删候选,text,tmp前缀 调试临时输出,no,拟归位,
_tmp_tool_names.txt,C:\Users\Administrator\_tmp_tool_names.txt,待删候选,text,tmp前缀 临时工具名列表,no,拟归位,
ai-os-automation-flowchart.html,C:\Users\Administrator\Desktop\ai-os-automation-flowchart.html,D:\Archive\web-captures\,html,纯HTML流程图 非运行体,no,拟归位,
【ggs心委】_3月_信息反馈表.docx,C:\Users\Administrator\Desktop\【ggs心委】_3月_信息反馈表 .docx,C:\Users\Administrator\Documents\,docx,普通文档 无依赖,yes,拟归位,需确认内容用途
写代码必备.txt,C:\Users\Administrator\Desktop\写代码必备.txt,D:\AgentTeam-Workspace\Dev\notes\misc\,text,纯文本笔记,yes,拟归位,需确认内容
微信图片_20260323201557_167_2554.jpg,C:\Users\Administrator\Desktop\微信图片_20260323201557_167_2554.jpg,C:\Users\Administrator\Pictures\,screenshot,普通微信截图,yes,拟归位,需确认是否有保留价值
